#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	170       	ok              	1.3621440000e+00	2.0843659160e+03	1.4049952777e+19	4.7333142183e+18	4.3544162641e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	174       	ok              	1.1045920000e+00	2.0655303830e+03	1.1500581959e+19	3.8733485798e+18	4.3556567750e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	153       	ok              	8.9530690000e-01	2.0808939430e+03	9.2374980118e+18	3.1162928441e+18	4.3484703066e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	137       	ok              	7.2579300000e-01	2.0925749180e+03	7.4344974113e+18	2.5121642833e+18	4.3413418779e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	123       	ok              	5.8279060000e-01	2.1013748760e+03	5.9347132376e+18	2.0087471782e+18	4.3340595697e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	111       	ok              	4.8040030000e-01	2.1122273880e+03	4.8576637160e+18	1.6473234370e+18	4.3258253829e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	100       	ok              	3.8219300000e-01	2.1225556980e+03	3.8369812573e+18	1.3041871297e+18	4.3158880746e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	93        	ok              	3.2411430000e-01	2.1278552420e+03	3.2405631632e+18	1.1032460724e+18	4.3089207762e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	86        	ok              	2.6603550000e-01	2.1331547850e+03	2.6479986403e+18	9.0330309942e+17	4.3003585095e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	78        	ok              	2.0795670000e-01	2.1384543290e+03	2.0594715581e+18	7.0435112827e+17	4.2893056519e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	75        	ok              	1.7198910000e-01	2.1350981830e+03	1.7038903548e+18	5.8344423087e+17	4.2841306123e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	77        	ok              	1.5615380000e-01	2.1238609620e+03	1.5561150079e+18	5.3252837297e+17	4.2866629633e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	78        	ok              	1.4031850000e-01	2.1126237410e+03	1.4064636171e+18	4.8107086372e+17	4.2888400854e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	79        	ok              	1.2448320000e-01	2.1013865210e+03	1.2549236621e+18	4.2906301343e+17	4.2905862576e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	80        	ok              	1.0864800000e-01	2.0901493000e+03	1.1014873171e+18	3.7649629271e+17	4.2917972885e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	80        	ok              	9.2812710000e-02	2.0789120790e+03	9.4614744505e+17	3.2336097672e+17	4.2923153711e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	80        	ok              	7.6977440000e-02	2.0676748580e+03	7.8890132914e+17	2.6964818032e+17	4.2918605170e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	79        	ok              	6.1142170000e-02	2.0564376370e+03	6.2975574621e+17	2.1534836631e+17	4.2899374352e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	76        	ok              	4.5306900000e-02	2.0452004160e+03	4.6873403357e+17	1.6045185868e+17	4.2855063324e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
50        	71        	ok              	2.9471630000e-02	2.0339631960e+03	3.0590039853e+17	1.0494876757e+17	4.2758562809e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
51        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
52        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
53        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
54        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
55        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
56        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
57        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
58        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
59        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
60        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
