#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
94        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
95        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
96        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
97        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
98        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
99        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
100       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
101       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
102       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
103       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
104       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
105       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
106       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
107       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
108       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
109       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
110       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
111       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
112       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
113       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
114       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
115       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
116       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
117       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
118       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
119       	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
